1,18,M,19
2,50,F,13
3,18,M,20
4,18,M,19
5,25,F,13
6,35,M,6
7,56,M,0
8,35,M,0
9,25,M,18
10,50,M,9
11,35,F,13
12,25,F,13
13,45,M,3
14,45,M,17
15,45,F,3
16,18,M,5
17,25,M,14
18,35,F,13
19,35,M,10
20,35,F,8
21,25,M,20
22,25,M,20
23,25,F,1
24,18,F,1
25,35,M,4
26,45,M,4
27,35,F,10
28,25,M,20
29,35,M,14
30,1,M,18
31,18,M,1
32,25,F,18
33,18,M,18
34,35,F,0
35,18,F,8
36,18,F,18
37,18,M,18
38,25,F,13
39,35,M,5
40,35,M,17
41,25,M,4
42,25,M,0
43,25,F,10
44,25,M,19
45,25,M,14
46,25,F,11
47,50,M,11
48,45,M,0
49,18,F,18
50,18,M,20
51,25,M,3
52,18,F,18
53,25,M,14
54,18,M,6
55,35,M,14
56,25,M,10
57,1,M,12
58,25,M,14
59,45,M,3
60,50,M,7
61,35,M,4
62,25,F,0
63,25,M,11
64,25,M,3
65,50,F,3
66,18,M,18
67,1,M,18
68,18,M,18
69,18,M,4
70,25,M,4
71,35,M,17
72,45,F,0
73,18,M,18
74,35,M,17
75,18,M,5
76,18,M,18
77,25,M,19
78,25,M,0
79,35,F,0
80,25,F,0
81,18,M,18
82,50,M,14
83,35,M,13
84,25,M,6
85,50,M,3
86,25,M,0
87,45,M,0
88,45,F,10
89,35,F,0
90,56,M,3
91,50,M,11
92,25,M,5
93,45,M,6
94,25,M,18
95,25,M,0
96,25,F,1
97,35,M,1
98,45,F,6
99,18,M,18
100,35,M,6
101,1,M,18
102,35,M,14
103,25,M,18
104,25,M,18
105,18,M,4
106,56,M,15
107,35,M,17
108,35,M,3
109,25,M,13
110,18,M,18
111,56,M,4
112,25,M,16
113,45,M,6
114,25,M,14
115,25,M,4
116,35,M,7
117,18,M,18
118,18,M,0
119,25,M,14
120,45,F,13
121,50,M,10
122,25,F,20
123,45,F,1
124,25,M,18
125,25,M,9
126,25,F,9
127,25,M,12
128,18,F,11
129,35,F,11
130,18,M,12
131,56,F,0
132,18,M,13
133,50,M,4
134,25,M,14
135,18,M,18
136,50,M,13
137,50,M,3
138,45,M,2
139,18,M,18
140,25,F,18
141,45,M,14
142,1,M,13
143,35,M,19
144,50,M,14
145,25,M,5
146,45,M,1
147,35,F,10
148,25,M,4
149,35,F,11
150,18,F,1
151,35,F,0
152,25,F,3
153,25,M,18
154,25,M,18
155,25,F,13
156,25,M,3
157,56,M,4
158,50,M,3
159,18,F,18
160,25,M,14
161,50,M,9
162,25,M,1
163,45,M,0
164,45,M,7
165,18,F,13
166,45,M,3
167,35,M,13
168,45,M,13
169,50,F,13
170,50,F,7
171,45,F,3
172,50,M,11
173,56,M,13
174,25,F,0
175,25,F,17
176,25,M,17
177,18,M,14
178,25,M,13
179,1,M,5
180,18,F,0
181,25,M,6
182,35,M,14
183,25,M,17
184,35,M,10
185,50,F,10
186,35,F,6
187,25,M,3
188,35,M,18
189,25,M,1
190,25,M,0
191,25,M,0
192,35,M,3
193,25,M,18
194,35,M,0
195,35,M,17
196,45,M,20
197,50,M,19
198,18,F,18
199,25,M,20
200,35,M,14
201,25,M,20
202,35,F,3
203,25,F,18
204,50,F,10
205,45,M,9
206,1,F,18
207,35,M,11
208,35,M,4
209,25,F,3
210,35,M,4
211,56,M,16
212,45,F,3
213,25,M,6
214,25,F,10
215,35,M,14
216,18,M,4
217,18,M,13
218,35,M,0
219,25,M,14
220,25,M,10
221,18,M,18
222,25,M,14
223,18,F,18
224,25,F,3
225,50,F,0
226,25,M,18
227,45,M,6
228,18,F,18
229,25,F,10
230,25,F,18
231,45,M,10
232,45,M,17
233,35,M,4
234,56,M,15
235,35,M,3
236,35,F,20
237,45,M,0
238,35,F,0
239,35,M,1
240,18,F,3
241,25,F,18
242,25,M,3
243,25,M,3
244,25,M,19
245,18,M,18
246,18,M,18
247,25,M,4
248,25,M,18
249,25,M,18
250,25,M,6
251,25,M,2
252,35,M,4
253,25,F,10
254,35,M,3
255,18,M,5
256,35,F,12
257,1,M,18
258,18,F,18
259,18,M,18
260,35,F,1
261,25,M,0
262,18,F,18
263,35,M,14
264,35,F,20
265,25,M,6
266,56,F,0
267,18,M,4
268,18,M,4
269,25,F,10
270,18,F,18
271,50,M,4
272,25,M,17
273,50,F,13
274,18,F,18
275,35,M,4
276,18,M,18
277,35,F,0
278,35,F,10
279,25,M,14
280,25,F,10
281,1,F,18
282,18,M,0
283,25,M,14
284,35,M,6
285,25,M,14
286,25,M,18
287,18,M,16
288,25,M,11
289,1,M,12
290,35,M,4
291,18,M,18
292,35,F,14
293,18,M,20
294,25,M,19
295,25,M,3
296,35,F,0
297,25,F,3
298,35,M,6
299,25,M,2
300,25,F,14
301,18,M,18
302,35,M,3
303,18,M,18
304,18,F,18
305,18,M,14
306,45,M,13
307,25,M,18
308,56,M,15
309,35,M,17
310,35,M,3
311,25,M,19
312,45,M,13
313,35,M,11
314,18,F,18
315,25,M,3
316,35,F,13
317,18,M,0
318,56,M,15
319,35,M,14
320,18,M,18
321,45,F,3
322,18,M,18
323,18,M,18
324,18,F,18
325,45,M,19
326,35,M,0
327,18,M,18
328,50,M,0
329,45,M,3
330,35,F,3
331,25,M,5
332,18,M,18
333,45,M,13
334,25,M,10
335,45,M,6
336,18,M,16
337,35,M,17
338,35,F,10
339,35,M,9
340,45,M,4
341,1,F,18
342,25,F,13
343,35,M,4
344,25,F,10
345,25,F,10
346,25,M,13
347,18,M,18
348,18,F,18
349,56,M,15
350,25,M,18
351,56,M,3
352,35,F,14
353,25,M,17
354,25,F,10
355,25,M,18
356,25,F,8
357,25,M,6
358,35,M,3
359,18,M,18
